,id,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,lat,long,state
156196,7049250057,Monroe,1030,apartment,945,2,0.0,1,1,1,0,0,0,w/d hookups,off-street parking,42.0775,-83.6901,MI
135794,7048932571,Baltimore,1444,apartment,1000,2,2.0,1,1,1,0,0,0,Unknown,Unknown,39.3683,-76.4588,MD
254842,7041750247,Philadelphia,1300,apartment,1100,3,1.5,1,0,1,0,0,0,Unknown,Unknown,39.9984,-75.0988,PA
97981,7040187897,Evansville,582,apartment,741,1,1.0,1,1,1,0,0,0,laundry on site,Unknown,37.9582,-87.48700000000001,IN
361557,7049947181,Tucson,1015,apartment,815,2,2.0,1,1,0,1,0,1,w/d in unit,carport,32.2214,-111.02600000000001,AZ
132966,7037034163,Annapolis,1497,apartment,1055,2,2.0,1,1,1,0,0,0,Unknown,Unknown,38.953,-76.4784,MD
354064,7039671112,Montgomery,735,apartment,1050,2,2.0,1,1,0,0,0,0,w/d in unit,Unknown,32.3735,-86.2052,AL
325828,7010731451,Harrisonburg,490,townhouse,1500,1,2.0,1,1,1,0,0,1,w/d in unit,off-street parking,38.4199,-78.8763,VA
72417,7041981088,Augusta,905,apartment,960,2,1.0,0,0,1,0,0,0,w/d hookups,off-street parking,33.3601,-82.0423,GA
319213,7033044311,Salt Lake City,1142,apartment,817,1,1.0,0,0,1,0,0,0,Unknown,Unknown,40.5541,-111.954,UT
77271,7037238155,Northwest Ga,918,apartment,960,2,1.0,1,1,1,0,0,0,Unknown,Unknown,33.5807,-84.3253,GA
116862,7050793091,Wichita,678,apartment,865,2,1.0,1,1,0,0,0,0,laundry in bldg,off-street parking,37.7038,-97.2253,KS
251826,7035721847,Lancaster,1260,townhouse,1285,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,40.0067,-76.3376,PA
255653,7037182842,Pittsburgh,1195,apartment,860,2,1.0,0,0,1,0,0,0,Unknown,Unknown,40.3323,-80.081,PA
200339,7029430132,Central Nj,1200,house,700,2,1.0,0,0,1,0,0,0,laundry in bldg,off-street parking,40.4637,-74.3615,NJ
243123,7024388488,Eugene,795,apartment,475,0,1.0,0,0,0,0,0,0,laundry on site,off-street parking,44.0402,-123.081,OR
193626,7049892328,Lincoln,1215,apartment,1171,3,2.0,1,1,1,1,0,0,w/d hookups,off-street parking,40.8566,-96.7199,NE
359506,7009249382,Jonesboro,850,house,1400,3,2.0,1,1,1,1,0,0,w/d in unit,attached garage,35.833,-90.6965,AR
173783,7029460838,Billings,1050,duplex,1450,2,2.0,0,1,0,0,0,0,w/d hookups,attached garage,45.8282,-108.456,MT
33187,7032211941,Delaware,1099,apartment,600,1,1.0,1,1,1,0,0,0,w/d in unit,street parking,39.7389,-75.5523,DE
64791,7045303022,Tampa Bay Area,1410,townhouse,1230,3,3.5,1,1,1,0,0,0,w/d in unit,attached garage,28.0623,-82.3896,FL
25247,7043537630,Fort Collins / North Co,1310,apartment,870,2,1.0,1,1,1,0,0,0,Unknown,Unknown,40.5525,-105.068,CO
383846,7025693675,Palm Springs,1320,apartment,1010,2,2.0,1,1,1,0,0,0,laundry on site,carport,33.7439,-116.993,CA
76184,7023255406,Macon / Warner Robins,780,apartment,1100,2,2.0,0,0,1,0,0,0,Unknown,Unknown,32.621,-83.6514,GA
8797,7049928353,Sf Bay Area,2438,apartment,1029,2,2.0,1,1,0,0,0,0,w/d in unit,detached garage,37.9587,-122.055,CA
381743,7042171300,Orange County,2199,apartment,972,2,2.0,1,1,1,0,0,0,w/d in unit,carport,33.8608,-117.926,CA
347637,7048541759,Birmingham,1055,apartment,1306,3,2.0,0,0,1,0,0,0,Unknown,Unknown,33.4326,-86.7055,AL
66854,7048914444,Albany,521,apartment,595,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,31.5789,-84.2118,GA
233248,7050064264,Toledo,725,duplex,750,2,1.0,0,0,0,0,0,0,laundry on site,off-street parking,41.3698,-83.639,OH
162711,7045067089,Rochester,1140,apartment,1038,2,1.5,1,1,1,0,0,0,Unknown,Unknown,44.0568,-92.494,MN
35070,7049919308,Daytona Beach,889,apartment,733,1,1.0,1,1,1,0,0,0,w/d in unit,street parking,29.0422,-81.2863,FL
137245,7039695445,Frederick,1900,apartment,1445,2,2.0,0,0,1,0,0,0,Unknown,Unknown,39.4926,-77.4612,MD
236,7040867208,Reno / Tahoe,800,apartment,400,1,1.0,1,1,1,0,0,0,Unknown,Unknown,39.5204,-119.84299999999999,CA
330286,7048560850,Richmond,905,apartment,815,2,1.0,1,1,1,0,0,0,Unknown,Unknown,37.4638,-77.398,VA
280006,7039691985,Memphis,649,apartment,948,2,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,35.0518,-89.91799999999999,TN
304924,7049715432,Odessa / Midland,1130,apartment,896,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking,32.0395,-102.10700000000001,TX
376254,7049979808,Los Angeles,1975,apartment,519,0,1.0,1,1,0,1,0,0,w/d in unit,detached garage,34.0396,-118.264,CA
187013,7043389708,Raleigh / Durham / Ch,914,apartment,772,1,1.0,1,1,1,0,0,0,w/d in unit,Unknown,35.8812,-78.6957,NC
369940,7044846359,Fresno / Madera,2450,house,1885,3,3.0,1,1,1,0,0,0,w/d in unit,attached garage,36.8878,-119.759,CA
143873,7032193181,Worcester / Central Ma,1411,apartment,675,1,1.0,1,1,1,0,0,0,laundry in bldg,off-street parking,42.2767,-71.6972,MA
373309,7049776020,Inland Empire,1295,apartment,946,2,1.5,1,1,1,0,0,0,w/d hookups,carport,34.5016,-117.294,CA
305878,7023127875,Odessa / Midland,1818,apartment,1124,2,2.0,1,1,1,0,0,0,w/d in unit,Unknown,32.0295,-102.09100000000001,TX
309959,7048974874,San Marcos,990,apartment,576,1,1.0,0,0,1,0,0,0,Unknown,Unknown,29.8986,-97.9606,TX
315792,7010782766,Logan,1349,apartment,1250,2,2.0,0,0,1,0,0,0,Unknown,Unknown,41.7229,-111.833,UT
250543,7050237188,Charleston,1195,apartment,887,1,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,32.8215,-80.0568,SC
196136,7051234020,Las Vegas,1549,house,1347,4,2.0,1,1,1,0,0,0,w/d in unit,attached garage,36.1128,-115.28,NV
274378,7040650114,Chattanooga,1582,apartment,1166,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,35.0292,-85.3068,TN
361059,7016992727,Show Low,1000,house,1428,2,2.0,1,1,1,0,0,0,Unknown,Unknown,34.1662,-109.98700000000001,AZ
287852,7041956118,Austin,1499,apartment,1080,2,2.0,1,1,0,1,0,0,w/d in unit,attached garage,30.249000000000002,-97.8414,TX
29662,7039395512,New Haven,1300,apartment,1000,2,1.0,1,1,1,0,0,0,laundry in bldg,off-street parking,41.5687,-72.9995,CT
337503,7051050956,Seattle-Tacoma,1907,apartment,1030,2,2.0,1,1,0,0,0,0,w/d in unit,off-street parking,47.4765,-122.226,WA
166256,7027098711,St Cloud,990,apartment,1025,2,2.0,1,1,1,0,0,0,Unknown,Unknown,45.541000000000004,-94.1819,MN
91031,7044597960,Chicago,1810,apartment,1172,3,2.0,1,1,1,0,0,0,laundry in bldg,off-street parking,42.163999999999994,-87.7725,IL
11227,7038621529,Stockton,1229,apartment,830,2,1.0,1,1,1,0,0,0,w/d hookups,carport,38.0228,-121.361,CA
67086,7037274739,Albany,864,apartment,1258,3,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,31.5789,-84.2118,GA
48440,7025685084,Okaloosa / Walton,1447,apartment,1228,2,2.0,1,1,0,0,0,0,w/d hookups,Unknown,30.3949,-86.4692,FL
60885,7037377038,St Augustine,90,condo,950,1,1.0,0,0,0,0,0,1,w/d in unit,off-street parking,30.1223,-81.3627,FL
85537,7045623016,Spokane / Coeur D'Alene,2200,apartment,2100,3,2.5,0,0,0,0,0,0,w/d in unit,attached garage,47.6496,-117.258,ID
140494,7040930813,Boston,2762,apartment,1791,2,2.0,0,0,1,0,0,0,Unknown,Unknown,42.543,-70.94800000000001,MA
128165,7033376037,Monroe,855,townhouse,1080,3,1.5,1,1,1,0,0,0,laundry on site,off-street parking,32.5317,-92.176,LA
158387,7030719045,The Thumb,625,manufactured,1280,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,43.7592,-83.4283,MI
314407,7042658258,Wichita Falls,745,apartment,750,1,1.0,1,1,1,0,0,0,laundry in bldg,carport,33.8894,-98.5119,TX
257668,7030861852,Reading,1023,apartment,816,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking,40.1919,-75.6653,PA
63858,7045753530,Tampa Bay Area,1121,apartment,915,2,1.0,1,1,1,0,0,0,w/d in unit,street parking,28.0609,-82.4362,FL
55921,7043358904,Sarasota-Bradenton,1015,apartment,707,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,27.4357,-82.596,FL
189562,7047377990,Wilmington,830,apartment,500,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,34.249,-77.8764,NC
76412,7036441504,Macon / Warner Robins,185,apartment,300,1,1.0,0,0,1,0,0,1,laundry in bldg,off-street parking,32.7885,-83.6683,GA
140106,7044681933,Boston,1975,apartment,900,1,1.0,0,0,0,0,0,0,w/d in unit,street parking,42.3829,-71.1028,MA
144853,7047222936,Ann Arbor,1100,duplex,800,2,2.0,1,0,0,0,0,0,w/d in unit,detached garage,42.2831,-83.7707,MI
173954,7039884496,Bozeman,1975,apartment,1524,3,2.5,1,1,1,0,0,0,w/d in unit,attached garage,45.6751,-111.197,MT
212418,7046769466,Long Island,1350,apartment,400,1,1.0,1,1,0,0,0,0,laundry in bldg,off-street parking,40.8895,-73.3763,NY
139635,7048913915,Boston,2195,apartment,700,1,1.0,1,0,1,0,0,0,laundry on site,attached garage,42.3177,-71.1766,MA
246776,7044648604,Portland,1875,townhouse,1608,3,2.5,1,1,0,0,0,0,w/d in unit,attached garage,45.6668,-122.566,OR
156621,7041770488,Muskegon,745,apartment,780,2,1.0,1,1,0,1,0,0,laundry in bldg,carport,43.1968,-86.2682,MI
92566,7045914977,"Quad Cities, Ia/Il",800,apartment,1000,3,2.0,1,1,1,0,0,0,Unknown,off-street parking,41.5745,-90.5809,IL
190670,7030754806,Wilmington,864,apartment,438,1,1.0,1,1,1,0,0,0,Unknown,off-street parking,34.1572,-77.9141,NC
20521,7043108917,Denver,3099,apartment,1318,2,2.0,1,1,0,0,0,0,w/d in unit,attached garage,39.7575,-105.012,CO
236982,7044565020,Oklahoma City,625,apartment,1081,2,2.0,0,0,1,0,0,0,Unknown,Unknown,35.4856,-97.6174,OK
213505,7047973197,New York City,1950,apartment,1050,2,1.0,0,0,0,0,0,0,no laundry on site,street parking,40.907,-73.8343,NY
349230,7039739856,Birmingham,1195,apartment,1908,3,2.0,1,1,1,0,0,0,laundry on site,street parking,33.4226,-86.7065,AL
355816,7046058898,Anchorage / Mat-Su,840,apartment,470,1,1.0,1,1,1,0,0,0,laundry on site,Unknown,61.1695,-149.838,AK
177404,7041919536,Charlotte,995,townhouse,1200,2,1.5,1,1,1,0,0,0,w/d hookups,Unknown,35.1616,-80.745,NC
370394,7041499209,Fresno / Madera,1335,apartment,832,1,1.0,0,0,0,0,0,0,w/d in unit,attached garage,36.8716,-119.77,CA
296307,7051066200,Dallas / Fort Worth,1130,apartment,707,1,1.0,1,1,1,0,0,0,w/d in unit,carport,32.9247,-96.9598,TX
135440,7050435450,Baltimore,1456,apartment,1035,2,2.0,1,1,1,0,0,0,Unknown,Unknown,39.3961,-76.8008,MD
50667,7049071870,Orlando,1364,apartment,752,1,1.0,1,1,0,0,0,0,Unknown,Unknown,28.3014,-81.5697,FL
132560,7035294498,Annapolis,1415,apartment,705,1,1.0,1,1,1,0,0,0,laundry in bldg,off-street parking,39.0809,-76.6833,MD
168985,7041581362,Jackson,1222,apartment,1153,2,0.0,1,1,1,0,0,0,w/d hookups,Unknown,32.3411,-90.3229,MS
330450,7048300444,Richmond,995,apartment,924,3,1.5,1,1,1,0,0,0,laundry on site,off-street parking,37.3414,-77.4161,VA
353512,7025192177,Mobile,790,apartment,648,1,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,30.3131,-87.6986,AL
273145,7048549535,Chattanooga,725,apartment,644,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,35.1219,-85.2878,TN
107326,7051028700,Omaha / Council Bluffs,750,apartment,875,2,1.0,1,1,1,0,0,0,laundry in bldg,detached garage,41.2473,-96.1043,IA
117549,7046725423,Wichita,628,apartment,750,2,1.0,1,1,0,0,0,0,laundry on site,Unknown,37.7088,-97.3853,KS
33333,7044703177,Delaware,1460,apartment,792,1,1.0,0,0,1,0,0,0,Unknown,Unknown,39.7394,-75.5578,DE
368921,7044913292,Chico,1055,apartment,880,2,1.0,0,0,0,0,0,0,laundry on site,off-street parking,39.7224,-121.811,CA
226406,7048629779,Cleveland,1025,condo,2066,4,2.5,1,1,1,0,0,0,Unknown,Unknown,41.4458,-81.7033,OH
269224,7032034806,Hilton Head,1329,apartment,807,1,1.0,1,1,1,0,0,0,w/d in unit,Unknown,32.2702,-80.9209,SC
105209,7042475087,Wichita,485,apartment,50,2,1.0,1,1,0,0,0,0,laundry on site,off-street parking,38.4088,-96.1827,KS
135457,7049239424,Baltimore,1705,apartment,949,2,2.0,0,0,1,0,0,0,Unknown,Unknown,39.3506,-76.482,MD
185170,7046830428,Jacksonville,705,apartment,739,3,1.0,0,0,1,0,0,0,Unknown,Unknown,34.7583,-77.4126,NC
381310,7046412961,Orange County,1525,apartment,740,2,1.0,0,0,1,0,0,0,Unknown,Unknown,34.1069,-117.29799999999999,CA
72518,7041454333,Augusta,1640,apartment,1285,3,2.0,1,1,0,0,0,0,w/d in unit,off-street parking,33.4652,-81.9927,GA
350492,7041494480,Huntsville / Decatur,799,apartment,1200,2,2.0,1,1,0,1,0,0,w/d in unit,off-street parking,34.6472,-86.7239,AL
88694,7041916161,Champaign Urbana,399,apartment,1279,4,0.0,1,1,0,1,0,1,w/d in unit,off-street parking,40.0681,-88.2388,IL
170853,7045378339,North Mississippi,495,apartment,1424,4,4.0,1,1,1,0,0,1,w/d in unit,Unknown,34.3625,-89.5502,MS
10108,7042728032,Stockton,1350,duplex,550,1,1.0,0,0,0,0,0,0,w/d in unit,street parking,37.7385,-121.43299999999999,CA
329067,7050833460,Richmond,1463,apartment,1153,2,2.0,1,1,0,0,0,0,w/d in unit,off-street parking,37.6861,-77.5361,VA
218633,7040698645,New Hampshire,1075,condo,1050,3,1.0,0,0,0,0,0,0,w/d hookups,off-street parking,43.1888,-70.8868,NH
285282,7027774849,Abilene,935,apartment,1070,2,2.0,1,1,1,0,0,0,w/d hookups,Unknown,32.431999999999995,-99.7724,TX
360314,7045766783,Phoenix,1395,apartment,930,2,1.0,1,1,1,0,0,0,w/d in unit,carport,33.3781,-111.929,AZ
169551,7036515050,Jackson,715,apartment,960,2,2.0,0,0,1,0,0,0,laundry on site,off-street parking,32.3055,-90.2309,MS
30715,7050005202,"Washington, Dc",1550,condo,448,0,1.0,1,1,1,0,0,1,laundry in bldg,off-street parking,38.9081,-77.0449,DC
292645,7031489095,College Station,669,apartment,600,1,1.0,1,1,1,0,0,0,Unknown,Unknown,30.619,-96.3185,TX
341695,7017388284,Kenosha-Racine,725,apartment,950,2,1.0,0,0,1,0,0,0,Unknown,off-street parking,42.5617,-87.8301,WI
207672,7044464580,Albany,910,manufactured,720,2,1.0,1,1,0,0,0,0,w/d hookups,off-street parking,42.855,-74.0119,NY
61671,7041228411,Tallahassee,1121,apartment,915,1,1.0,1,1,1,0,0,0,w/d in unit,Unknown,30.4155,-84.2322,FL
105386,7047011801,Des Moines,1385,apartment,1140,3,2.0,1,1,1,0,0,0,w/d in unit,detached garage,41.673,-93.7028,IA
59410,7042951943,Space Coast,1100,apartment,970,2,2.0,1,1,1,0,0,0,laundry in bldg,off-street parking,28.3903,-80.6043,FL
207003,7034077672,Las Cruces,880,manufactured,1216,3,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,32.3161,-106.79899999999999,NM
202510,7043523994,South Jersey,1250,apartment,955,2,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,40.0105,-74.964,NJ
42095,7039306409,Jacksonville,2358,condo,1716,2,2.0,1,1,0,1,1,1,w/d in unit,attached garage,30.2801,-81.4165,FL
14293,7040033624,Ventura County,1797,apartment,740,1,1.0,1,1,0,0,0,0,laundry on site,carport,34.221,-119.06200000000001,CA
326393,7017860411,New River Valley,1050,townhouse,1300,3,2.5,0,0,0,0,0,0,Unknown,Unknown,37.2563,-80.4347,VA
160277,7051030872,Minneapolis / St Paul,1430,apartment,1079,2,1.0,1,1,1,0,0,0,w/d in unit,attached garage,45.1901,-93.3107,MN
290714,7050939152,College Station,976,apartment,736,1,1.0,1,1,0,1,0,0,w/d in unit,carport,30.6582,-96.3351,TX
210507,7031637790,Elmira-Corning,843,apartment,372,0,1.0,1,1,0,0,0,1,Unknown,Unknown,42.1556,-77.1122,NY
217886,7048697378,New Hampshire,2050,condo,1500,2,1.5,0,0,0,0,0,0,w/d in unit,off-street parking,42.7291,-71.4952,NH
231725,7046855262,Dayton / Springfield,639,apartment,986,2,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,39.8053,-84.0198,OH
255240,7035201336,Pittsburgh,1250,apartment,580,1,1.0,0,0,1,0,0,0,Unknown,Unknown,40.439,-80.0052,PA
95534,7049626103,"St Louis, Mo",895,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,38.4305,-90.387,IL
145214,7030659017,Grand Rapids,909,manufactured,1216,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,42.6715,-85.5417,MI
163808,7031462110,Rochester,725,apartment,875,2,1.0,1,1,1,0,0,0,laundry on site,Unknown,44.0558,-92.4572,MN
325259,7019913817,Fredericksburg,1259,townhouse,1353,3,2.0,1,1,1,0,0,0,w/d hookups,street parking,38.4586,-77.4306,VA
257602,7032957702,Reading,1370,apartment,1124,2,1.5,1,1,0,0,0,0,w/d hookups,off-street parking,40.3886,-75.9328,PA
337773,7051022404,Seattle-Tacoma,1380,apartment,644,1,1.0,1,1,0,0,0,0,w/d in unit,carport,47.8356,-122.28200000000001,WA
131542,7047382830,Maine,1750,house,2000,5,1.0,0,0,0,0,0,0,w/d in unit,off-street parking,44.6653,-70.1329,ME
277154,7049058955,Knoxville,825,townhouse,1075,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,35.9273,-84.0874,TN
243740,7022544277,Eugene,1579,apartment,670,1,1.0,1,1,0,1,0,1,w/d in unit,attached garage,44.0452,-123.084,OR
165302,7037768907,St Cloud,1235,apartment,1057,2,2.0,1,1,1,0,0,0,Unknown,Unknown,45.3027,-93.8045,MN
307162,7025258213,Odessa / Midland,1775,apartment,837,1,1.0,1,1,1,0,0,0,w/d in unit,no parking,32.0199,-102.148,TX
174789,7051052081,Asheville,1184,apartment,882,1,1.0,0,0,1,0,0,0,Unknown,Unknown,35.4637,-82.5354,NC
236019,7051165382,Oklahoma City,649,apartment,535,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,35.6013,-97.6215,OK
371468,7031461514,Gold Country,1350,house,1240,3,2.0,0,0,0,0,0,0,Unknown,off-street parking,38.0568,-120.274,CA
69267,7049853826,Atlanta,1399,loft,750,1,1.0,0,0,1,0,0,0,laundry on site,Unknown,33.7734,-84.3646,GA
186331,7050442679,Raleigh / Durham / Ch,1601,apartment,1060,2,2.0,1,1,0,1,1,0,w/d in unit,off-street parking,35.8344,-78.8466,NC
68670,7026811749,Athens,1075,apartment,1125,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking,33.9388,-83.3225,GA
303771,7027089420,Lubbock,349,apartment,275,0,1.0,0,0,0,0,0,0,laundry on site,street parking,33.5865,-101.861,TX
46437,7032263721,Lakeland,989,apartment,910,1,1.0,1,1,1,1,0,0,w/d in unit,detached garage,28.072,-81.9609,FL
236440,7047362538,Oklahoma City,650,apartment,790,2,1.0,0,0,1,0,0,0,laundry on site,Unknown,35.4057,-97.5181,OK
384976,7049050010,Reno / Tahoe,1295,apartment,957,2,2.0,1,1,1,0,0,0,w/d in unit,carport,39.4477,-119.771,CA
22554,7034814984,Denver,1352,apartment,912,1,1.0,1,1,1,0,0,0,w/d in unit,Unknown,39.5166,-104.76700000000001,CO
208657,7050774520,Binghamton,615,apartment,676,2,1.0,0,0,0,0,0,0,no laundry on site,street parking,42.1099,-75.9309,NY
317388,7035510419,Provo / Orem,1143,apartment,1100,3,2.0,1,1,0,0,0,0,w/d hookups,off-street parking,40.1099,-111.646,UT
368734,7011620298,Bakersfield,1320,apartment,1248,3,2.5,0,0,1,0,0,0,w/d hookups,attached garage,35.3251,-119.065,CA
296696,7036530490,El Paso,630,apartment,680,2,1.0,1,1,1,0,0,0,laundry on site,Unknown,31.8552,-106.435,TX
58178,7048401304,South Florida,1600,condo,1130,2,2.0,1,1,1,0,0,0,w/d in unit,Unknown,25.7,-80.413,FL
379157,7042027821,Monterey Bay,1834,apartment,1281,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,36.6122,-121.85,CA
206086,7047971569,Albuquerque,950,condo,755,1,1.0,0,0,0,0,0,0,laundry on site,off-street parking,35.1419,-106.635,NM
259493,7046925497,Rhode Island,1185,apartment,734,1,1.0,1,1,1,0,0,0,Unknown,Unknown,41.7877,-71.3569,RI
117114,7038576294,Wichita,650,apartment,930,2,1.5,1,1,1,0,0,0,laundry in bldg,off-street parking,37.6194,-97.3557,KS
94826,7050846069,"St Louis, Mo",1150,apartment,800,2,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,38.6616,-90.2819,IL
88162,7036078835,Champaign Urbana,935,house,957,2,1.0,1,1,0,0,0,0,w/d hookups,detached garage,40.1155,-88.2686,IL
214925,7044478790,Rochester,963,apartment,688,1,1.0,1,1,0,1,1,0,laundry in bldg,Unknown,43.1579,-77.6055,NY
25516,7025946408,Fort Collins / North Co,1322,apartment,550,1,1.0,0,0,1,0,0,1,laundry on site,off-street parking,40.5688,-105.09299999999999,CO
71794,7046377680,Augusta,1205,apartment,1299,2,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,33.5412,-82.1398,GA
137248,7039656718,Frederick,1620,apartment,1103,3,3.0,0,0,1,0,0,0,Unknown,Unknown,39.4219,-77.4331,MD
346970,7046833580,Auburn,625,apartment,988,2,2.0,1,1,1,0,0,0,w/d in unit,Unknown,32.5726,-85.5028,AL
127153,7036476643,Lafayette,775,apartment,575,1,1.0,1,1,0,0,0,0,laundry on site,Unknown,30.1603,-92.0411,LA
101026,7045789031,Indianapolis,1025,apartment,931,2,2.0,1,1,0,0,0,0,w/d in unit,Unknown,39.9916,-86.1267,IN
302898,7047391444,Lubbock,699,apartment,749,1,1.0,1,1,1,0,0,0,w/d hookups,carport,33.5434,-101.934,TX
152917,7035192583,Holland,859,apartment,600,1,1.0,1,1,1,0,0,0,laundry on site,Unknown,42.8135,-86.1426,MI
48293,7031646031,Okaloosa / Walton,1114,apartment,783,1,1.0,1,1,1,0,0,0,w/d hookups,Unknown,30.3659,-86.2458,FL
13604,7043706976,Ventura County,2080,apartment,882,1,1.0,1,1,1,0,0,0,w/d in unit,Unknown,34.162,-119.039,CA
139989,7045556127,Boston,2950,apartment,1054,3,2.0,0,0,1,0,0,0,laundry in bldg,off-street parking,42.3451,-71.164,MA
188241,7049053850,Raleigh / Durham / Ch,1169,apartment,1188,2,2.0,1,1,1,0,0,0,w/d in unit,Unknown,35.8537,-78.5731,NC
125358,7041842912,Baton Rouge,904,apartment,680,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,30.3729,-91.2601,LA
120557,7047405556,Lexington,799,apartment,825,2,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,38.027,-84.5433,KY
116378,7032631527,Topeka,825,apartment,968,2,2.0,1,1,0,0,0,0,w/d in unit,off-street parking,39.0408,-95.6956,KS
138639,7045297721,Southern Maryland,1295,apartment,784,1,1.0,1,1,0,1,0,0,laundry in bldg,off-street parking,38.7587,-76.9835,MD
179077,7047524636,Charlotte,1205,apartment,1043,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,35.1287,-80.9338,NC
107482,7047351117,Omaha / Council Bluffs,800,apartment,662,1,1.0,1,1,0,0,0,0,laundry in bldg,off-street parking,41.2616,-95.8251,IA
114279,7040384425,Salina,695,apartment,750,1,1.0,0,0,0,0,0,0,laundry on site,off-street parking,38.8409,-97.5919,KS
257777,7025006379,Reading,775,apartment,500,1,1.0,0,0,0,0,0,0,no laundry on site,street parking,40.2584,-75.9833,PA
351060,7035324903,Huntsville / Decatur,749,apartment,1050,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking,34.7071,-86.6201,AL
219234,7045296050,Bismarck,815,apartment,900,2,1.0,0,0,0,0,0,0,w/d in unit,detached garage,46.8394,-100.78399999999999,ND
222864,7048941538,Akron / Canton,910,apartment,1250,3,2.0,1,1,1,0,0,0,Unknown,Unknown,41.1377,-81.5539,OH
316982,7040314804,Provo / Orem,1209,apartment,746,1,1.0,1,1,0,0,0,0,w/d in unit,carport,40.3668,-111.785,UT
102463,7045417889,South Bend / Michiana,949,apartment,1100,2,1.5,1,1,0,0,0,0,w/d in unit,detached garage,41.7299,-86.2407,IN
178856,7048281009,Charlotte,1349,apartment,1339,2,2.0,1,1,1,0,0,0,w/d hookups,Unknown,35.0502,-80.9908,NC
275174,7028076900,Clarksville,600,apartment,385,1,1.0,0,0,1,0,0,0,no laundry on site,off-street parking,36.522,-87.34899999999999,TN
185829,7050743468,Raleigh / Durham / Ch,1215,apartment,1311,3,2.0,0,0,1,0,0,0,Unknown,Unknown,35.9457,-78.6433,NC
209444,7047900129,Buffalo,1300,apartment,700,1,1.0,1,1,0,0,0,1,w/d in unit,off-street parking,42.8953,-78.8769,NY
157768,7037374083,Saginaw-Midland-Baycity,755,apartment,718,1,1.0,1,1,1,0,0,0,laundry in bldg,carport,43.6451,-84.2877,MI
213373,7048570690,New York City,1700,apartment,1250,2,1.0,1,1,1,0,0,0,Unknown,off-street parking,40.6664,-74.1192,NY
23436,7049772097,Fort Collins / North Co,1230,apartment,665,0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,40.3965,-105.073,CO
290681,7051074475,College Station,779,apartment,827,2,1.5,1,1,0,1,0,0,w/d in unit,street parking,30.6045,-96.3123,TX
257715,7027589530,Reading,600,house,1448,3,2.0,0,0,1,0,0,0,Unknown,Unknown,40.3507,-75.9143,PA
350691,7039721847,Huntsville / Decatur,980,apartment,768,1,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,34.7167,-86.4687,AL
66368,7032956164,Treasure Coast,1309,apartment,1190,2,2.0,1,1,1,0,0,0,w/d hookups,Unknown,27.2889,-80.298,FL
49791,7044825369,Orlando,1125,apartment,809,1,1.0,1,1,1,1,0,0,w/d in unit,street parking,28.5155,-81.4772,FL
114813,7033009950,Topeka,600,apartment,660,2,1.0,0,0,1,0,0,0,w/d in unit,carport,38.9919,-95.6681,KS
375894,7050023566,Los Angeles,2140,apartment,1028,2,2.0,1,1,0,0,0,0,w/d in unit,detached garage,34.4132,-118.426,CA
240580,7046764600,Tulsa,685,apartment,900,2,1.0,0,0,1,0,0,0,laundry on site,off-street parking,36.1497,-95.9054,OK
237559,7049046877,Oklahoma City,699,apartment,857,2,2.0,1,1,1,0,0,0,w/d hookups,Unknown,35.199,-97.4841,OK
70620,7049290708,Atlanta,1247,apartment,1300,3,2.0,1,1,1,0,0,0,w/d hookups,Unknown,33.5995,-84.3255,GA
